CVEGEO,Nombre,VPC_2003,VPC_2004,VPC_2005,VPC_2006,VPC_2007,VPC_2008,VPC_2009,VPC_2010,VPC_2011,VPC_2012,VPC_2013,VPC_2014,VPC_2015,VPC_2016
20414,Santa María Huazolotitlán,84127,65184,34263,41078,50327,68088,70133,101761,120327,115604,228032,321461,345192,427675
20415,Santa María Ipalapa,9782,9302,7443,15561,18141,19612,17604,16992,17014,18915,20658,20936,21344,24615
20416,Santa María Ixcatlán,283,377,383,367,449,535,208,714,736,690,610,336,606,672
20417,Santa María Jacatepec,103281,161941,122228,113657,117921,91950,86671,92580,145647,146707,157972,158354,142888,183987
20418,Santa María Jalapa del Marqués,18504,20572,20738,19767,17110,27587,23149,14882,22843,23875,25690,32885,27147,33572
20419,Santa María Jaltianguis,801,700,754,775,777,841,741,746,701,1013,767,720,688,800
20420,Santa María Lachixío,776,1285,2207,2832,2672,2854,649,2621,3516,3147,2766,2451,3578,2475
20421,Santa María Mixtequilla,12358,13365,11753,11847,13103,6937,12101,8641,9656,10009,18038,11621,12956,16154
20422,Santa María Nativitas,904,153,314,226,906,1090,566,2417,3880,3737,2397,3214,3432,3037
20423,Santa María Nduayaco,1172,109,46,216,980,1222,633,725,1018,1285,456,843,1219,1037
20424,Santa María Ozolotepec,2937,2815,3298,4175,7568,6683,5190,7599,7817,7832,10180,9998,8346,5504
20425,Santa María Pápalo,2743,2392,1907,1816,2782,3557,2892,3246,3797,4261,4291,4048,4000,4499
20426,Santa María Peñoles,4104,7786,10748,11002,27304,16544,8684,17807,17103,17691,9509,11497,10783,8641
20427,Santa María Petapa,4783,5891,13657,18420,26077,23394,26008,21458,33339,35631,36458,32816,33985,37338
20428,Santa María Quiegolani,20027,2937,3510,4729,3569,6003,5390,4556,6685,5044,5084,9719,11940,15060
20429,Santa María Sola,3089,5206,56400,47068,62824,86325,54473,65984,30695,8377,8366,8454,11119,10149
20430,Santa María Tataltepec,311,460,473,655,563,924,593,478,550,557,692,608,608,752
20431,Santa María Tecomavaca,15596,11930,10833,10015,12332,13102,16539,18448,20133,18189,19381,21654,18949,22680
20432,Santa María Temaxcalapa,1517,1183,1007,1940,2154,2441,2526,3428,3681,3256,2704,3338,2119,2258
20433,Santa María Temaxcaltepec,2504,2032,1696,1949,1983,3153,3279,2198,2549,3163,2439,2616,3452,3379
20434,Santa María Teopoxco,3480,3120,3350,2637,3395,4125,4642,5110,6860,6030,7632,6686,7304,7845
20435,Santa María Tepantlali,2715,2139,2287,2585,2953,3217,2786,3475,3679,4297,4113,4208,3546,4351
20436,Santa María Texcatitlán,494,677,614,688,931,875,624,539,2159,2350,2719,2093,2065,2172
20437,Santa María Tlahuitoltepec,6715,5413,6613,7947,8717,9080,7781,7628,8417,9218,8439,7648,8104,9539
20438,Santa María Tlalixtac,654,733,682,929,1105,1240,1676,4831,1900,1995,2209,2158,2577,2571
20439,Santa María Tonameca,81043,64508,50589,39869,59254,73586,101972,105807,100441,135711,144825,144133,151949,179812
20440,Santa María Totolapilla,7803,6500,11099,3633,4890,2636,3098,3423,2106,3087,1590,1748,1573,2936
20441,Santa María Xadani,3558,2362,4240,4566,3504,6530,8535,4424,7109,9444,6306,5337,4517,7943
20442,Santa María Yalina,399,297,265,377,279,298,266,257,230,280,277,245,256,263
20443,Santa María Yavesía,463,548,617,499,507,569,502,468,517,607,515,491,546,684
20444,Santa María Yolotepec,257,549,424,810,748,846,800,671,766,939,1119,1156,1156,1341
20445,Santa María Yosoyúa,733,1162,1161,2292,1617,3552,2357,1832,2135,1821,1787,2170,2027,2308
20446,Santa María Yucuhiti,3939,4668,3984,4862,14360,5902,6353,6331,5146,7748,8216,7374,7060,6734
20447,Santa María Zacatepec,15099,19180,16758,34315,42916,36218,33039,33533,31557,36517,43663,46214,48275,54269
20448,Santa María Zaniza,1768,1500,3047,4554,5109,5367,3670,4959,4832,5561,5776,5094,5372,5578
20449,Santa María Zoquitlán,31889,15876,28031,27699,25011,24225,30966,35381,37897,22738,18626,21513,23710,23268
20450,Santiago Amoltepec,4394,2448,2989,4349,4458,4590,1342,4366,5166,9561,9653,8383,8376,8274
