CVEGEO,Nombre,PM_1995,PM_1996,PM_1997,PM_1998,PM_1999,PM_2000,PM_2001,PM_2002,PM_2003,PM_2004,PM_2005,PM_2006,PM_2007,PM_2008,PM_2009,PM_2010,PM_2011,PM_2012,PM_2013,PM_2014,PM_2015,PM_2016,promedio
20454,Santiago Atitlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20455,Santiago Ayuquililla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20456,Santiago Cacaloxtepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20457,Santiago Camotlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20458,Santiago Comaltepec,4147,22,1133,2347,1395,1612,1975,1373,1945,3759,696,1189,1976,2130,1939,1963,2076,0,2242,1375,0,0,1604.27272727273
20459,Santiago Chazumba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20460,Santiago Choápam,0,0,0,0,0,0,0,0,699,958,0,0,512,1397,1236,0,0,0,0,0,0,0,218.272727272727
20461,Santiago del Río,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20462,Santiago Huajolotitlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20463,Santiago Huauclilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20464,Santiago Ihuitlán Plumas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20465,Santiago Ixcuintepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20466,Santiago Ixtayutla,0,5190,5946,8323,3240,10501,2990,3587,1712,2820,5015,3265,1937,2768,0,0,0,1133,0,0,153,0,2662.72727272727
20467,Santiago Jamiltepec,2092,9261,4805,5000,10000,4525,2248,2309,1390,2618,593,0,3140,2329,1177,987,646,1395,1862,987,0,0,2607.45454545455
20468,Santiago Jocotepec,0,0,0,0,0,123,13,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,9.86363636363636
20469,Santiago Juxtlahuaca,3222,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.363636363636
20470,Santiago Lachiguiri,0,0,0,0,0,0,0,0,26,31,0,0,0,0,0,0,0,0,0,0,0,0,2.59090909090909
20471,Santiago Lalopa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20472,Santiago Laollaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20473,Santiago Laxopa,0,0,0,0,0,0,0,0,5467,5330,6192,4936,5156,4434,2488,728,3113,3611,0,358,6561,11323,2713.5
20474,Santiago Llano Grande,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20475,Santiago Matatlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20476,Santiago Miltepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20477,Santiago Minas,0,0,1414,0,3376,4994,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.090909090909
20478,Santiago Nacaltepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20479,Santiago Nejapilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20480,Santiago Nundiche,7124,4730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,550.636363636364
20481,Santiago Nuyoó,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,17.6363636363636
20482,Santiago Pinotepa Nacional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20483,Santiago Suchilquitongo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20484,Santiago Tamazola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20485,Santiago Tapextla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
