CVEGEO,Nombre,APM_1994,APM_1995,APM_1996,APM_1997,APM_1998,APM_1999,APM_2000,APM_2001,APM_2002,APM_2003,APM_2004,APM_2005,APM_2006,APM_2007,APM_2008,APM_2009,APM_2010,APM_2011,APM_2012,APM_2013,APM_2014,APM_2015,APM_2016
20105,San Antonino Monte Verde,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20106,San Antonio Acutla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20107,San Antonio de la Cal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20108,San Antonio Huitepec,,0,0,669,0,2651,0,3164,454,3519,865,0,1915,0,104,8715,0,0,16047,7603,9482,6857,6371
20109,San Antonio Nanahuatípam,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110,San Antonio Sinicahua,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20111,San Antonio Tepetlapa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20112,San Baltazar Chichicápam,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20113,San Baltazar Loxicha,,0,5579,0,9025,3565,0,0,0,0,0,0,0,0,0,0,2476,0,2565,1025,1830,2432,2330
20114,San Baltazar Yatzachi el Bajo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20115,San Bartolo Coyotepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20116,San Bartolomé Ayautla,,0,0,0,0,0,0,0,0,0,0,699,0,0,0,7454,0,0,6510,7594,8244,8679,10589
20117,San Bartolomé Loxicha,,6117,0,0,50750,31526,10000,0,0,0,0,0,804,0,0,862,0,0,849,2219,1852,937,902
20118,San Bartolomé Quialana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20119,San Bartolomé Yucuañe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20120,San Bartolomé Zoogocho,,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20121,San Bartolo Soyaltepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122,San Bartolo Yautepec,,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20123,San Bernardo Mixtepec,,6292,1984,0,8968,3898,0,0,0,0,2042,0,150,981,1395,481,443,890,1543,2837,6028,6605,7388
20124,San Blas Atempa,,0,0,0,0,0,0,0,0,0,238,780,298,222,0,798,0,0,0,0,0,0,0
20125,San Carlos Yautepec,,0,3668,4590,0,20646,21061,14200,15678,18390,30429,66912,5727,4292,12398,0,8359,0,140015,28385,16024,31922,62232
20126,San Cristóbal Amatlán,,0,0,0,0,6135,4502,0,0,0,0,0,0,0,0,0,0,5607,5213,5337,4612,8814,5609
20127,San Cristóbal Amoltepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,441,399,456,431,544
20128,San Cristóbal Lachirioag,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20129,San Cristóbal Suchixtlahuaca,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130,San Dionisio del Mar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20131,San Dionisio Ocotepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20132,San Dionisio Ocotlán,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20133,San Esteban Atatlahuca,,26285,35571,22013,0,68514,0,23955,1053,52707,13636,7292,15742,0,651,1336,0,1854,15072,25464,15153,16669,33697
20134,San Felipe Jalapa de Díaz,,0,0,0,0,0,0,0,0,0,0,63,58,0,0,0,0,0,0,0,0,0,0
20135,San Felipe Tejalápam,,0,0,0,0,0,0,0,0,0,0,0,0,0,169,202,0,0,0,0,0,0,0
20136,San Felipe Usila,,0,0,0,0,0,2980,497,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20137,San Francisco Cahuacuá,,12445,22706,10211,12775,27095,0,0,0,1884,0,0,289,210,12331,16601,30801,0,24695,14898,20968,19226,20521
20138,San Francisco Cajonos,,5511,5636,0,13249,0,0,0,0,0,0,0,6840,5667,4909,13218,0,2065,0,5206,61,0,20905
20139,San Francisco Chapulapa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140,San Francisco Chindúa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141,San Francisco del Mar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20142,San Francisco Huehuetlán,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20143,San Francisco Ixhuatán,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20144,San Francisco Jaltepetongo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20145,San Francisco Lachigoló,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20146,San Francisco Logueche,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20147,San Francisco Nuxaño,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20148,San Francisco Ozolotepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20149,San Francisco Sola,,0,0,0,0,0,3749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150,San Francisco Telixtlahuaca,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,1491,0,1332,1337,1159,1021,961
20151,San Francisco Teopan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20152,San Francisco Tlapancingo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20153,San Gabriel Mixtepec,,12740,18288,23000,27246,4533,559,602,114,0,0,0,0,0,0,0,0,0,0,0,0,548,0
20154,San Ildefonso Amatlán,,0,0,3262,4626,0,0,0,3099,0,173,2259,1599,723,1118,0,584,0,1509,1749,1604,2921,2424
20155,San Ildefonso Sola,,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20156,San Ildefonso Villa Alta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0
